cod_prod,descr_resumida,descr_detalhada,preco,unidade
414GER2109,GER 42 FE/PU RO PLK 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 42 FERRO COM PU ROLAMENTO,98.28,PECA
414RO1333,RO 414 BP CZA CT RO,RO 414 BP CINZA COM CALOTA ROLAMENTO,7.92,PECA
414RO1361,RO 414 BP CZA CT,RODA 414 BP CINZA COM CALOTA,5.4,PECA
414RO1661,RO 414 FERRO,RODA 414 FERRO,34.78,PECA
414RO1754,RO 42 BP CZA RO,RODA 42 BP CINZA COM ROLAMENTO,22.45,PECA
414RO2112,RO 42 FE/PU RO,RODA 42 FERRO COM PU COM ROLAMENTO,69.96,PECA
414RO2130,RO 414 NY BCA,RODA 414 NYLON BRANCA EIXO 7/16,9.6,PECA
414RO960,RO 414 FE/PU BU,RODA 414 FERRO COM POLIURETANO COM BUCHA,43.34,PECA
414RO975,RO 414 FE/PU RO,RODA 414 FERRO COM POLIURETANO COM ROLAMENTO,55.9,PECA
512FBR1387,FB 512 NY BCA PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 NYLON BRANCA PORCA PARLOCK,25.54,PECA
512FBR1736,FB 512 FE/PU BU PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 FERRO COM POLIURETANO BUCHA PORCA PARLOCK,0,PECA
512FBR1991,FB 512 BP CZA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 BP CINZA CALOTA E ROLAMENTO PORCA PARLOCK,17.16,PECA
512FBR919,FB 512 BP CZA PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 BP CINZA  PORCA PARLOCK,14.84,PECA
512FBR2093,FB 512 UP PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 UP COM PORCA PLK,17.44,PECA
512FBR918,FB 512 GP PLK,RODIZIO DE AÇO FIXO DE BASE SEM RODA 512 PARAFUSO E PORCA PARLOCK,7.85,PECA
512FBR920,FB 512 PP PTA PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 512 PP PRETA PORCA PARLOCK,12.37,PECA
512FER1392,FE 512 NY BCA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 512 NYLON BRANCA PORCA PARLOCK,24.18,PECA
512FER1737,FE 512 FE/PU BU PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 512 FERRO COM POLIURETANO BUCHA PORCA PARLOCK,0,PECA
512FER2096,FE 512 UP PLK 25,RODIZIO DE AÇO FIXO DE PARAFUSO 25MM COM RODA 512 UP E PORCA PARLOCK,16.34,PECA
512FER924,FE 512 GP PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM SEM RODA 512 COM PARAFUSO E PORCA PARLOCK,6.68,PECA
512FER925,FE 512 BP CZA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 512 BP CINZA PORCA PARLOCK,13.7,PECA
512FER926,FE 512 PP PTA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 512 PP PRETA PORCA PARLOCK,11.22,PECA
512GBR1142,GB 512 BP CZA CT RO,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 BP CINZA CALOTA E ROLAMENTO,20.08,PECA
512GBR1225,GB 512 NY BCA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 NYLON BRANCA,28.5,PECA
512GBR1515,CV 512,CAVALETE DO RODIZIO DE AÇO 512,5.6675,PECA
512GBR1733,GB 512 FR BP CZA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 BP CINZA E FREIO,31.5,PECA
512GBR1734,GB 512 FR FE/PU BU,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 FERRO COM POLIURETANO BUCHA E FREIO,0,PECA
512GBR1788,GB 512 FR PP PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 PP PRETA E FREIO,29.38,PECA
512GBR1821,GB 512 FR NY BCA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 NYLON BRANCA E FREIO,40.88,PECA
512GBR1923,GB 512 FR GP,RODIZIO DE AÇO GIRATÓRIO DE BASE SEM RODA 512 PARAFUSO E PORCA E FREIO,27.45,PECA
512GBR1994,GB 512 FR BP CZA CT RO,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 BP CINZA CALOTA E ROLAMENTO E FREIO,33.5,PECA
512GBR2091,GB 512 UP,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 512 UP,20.34,PECA
512GBR2092,GB 512 FR UP,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 512 UP COM FREIO,33.75,PECA
512GBR915,GB 512 GP,RODIZIO DE AÇO GIRATÓRIO DE BASE SEM RODA 512 PARAFUSO E PORCA,10.9,PECA
512GBR916,GB 512 BP CZA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 BP CINZA,17.75,PECA
512GBR917,GB 512 PP PTA,RODIZIO DE AÇO GIRATÓRIO DE BASE COM RODA 512 PP PRETA,15.2,PECA
512GER1226,GE 512 NY BCA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 NYLON BRANCA,28.25,PECA
512GER1499,GE 512 NY BCA 75,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X75MM COM RODA 512 NYLON BRANCA,28.93,PECA
