cod_prod,descr_resumida,descr_detalhada,preco,unidade
514RO1683,RO 514 PP PTA CT RO,RODA 514 PRETA COM CALOTA E ROLAMENTO,14.46,PECA
514RO1685,RO 514 FERRO,RODA 514 FERRO,42.57,PECA
514RO1725,RO 52 FE/PU RO,RODA 52 FERRO COM POLIURETANO ROLAMENTO,80.68,PECA
514RO2132,RO 514 NY BCA CT RO,RODA 514 BP CINZA COM CALOTA E ROLAMENTO EIXO 7/16,34.85,PECA
514RO966,RO 514 FE/PU RO,RODA 514 FERRO COM POLIURETANO ROLAMENTO,70.57,PECA
514RO977,RO 514 FE/PU BU,RODA 514 FERRO COM POLIURETANO BUCHA,60.44,PECA
612FBR1472,FB 612 NY BCA PLK,RODIZIO FIXO DE BASE COM RODA 612 NYLON BRANCA PORCA PARLOCKRODIZIO DE AÇO FIXO DE BASE COM RODA 612 NYLON BRANCA PORCA PARLOCK,31.57,PECA
612FBR2098,FB 612 UP PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 612 UP,22.16,PECA
612FBR930,FB 612 GP PLK,RODIZIO DE AÇO FIXO DE BASE SEM RODA 612 PARAFUSO E PORCA PARLOCK,9.95,PECA
612FBR931,FB 612 BP CZA PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 612 BP CINZA PORCA PARLOCK,18.02,PECA
612FBR932,FB 612 PP PTA PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 612 PP PRETA PORCA PARLOCK,16.4,PECA
612FER1807,FE 612 NY BCA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 612 NYLON BRANCA PORCA PARLOCK,28.6,PECA
612FER1808,FE 612 GP PLK 75,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X75MM SEM RODA 612 PARAFUSO E PORCA PARLOCK,8.08,PECA
612FER1809,FE 612 NY BCA PLK 75,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X75MM COM RODA 612 NYLON BRANCA PORCA PARLOCK,29.8,PECA
612FER1810,FE 612 PP PTA PLK 75,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X75MM COM RODA 612 PP PRETA PORCA PARLOCK,14.62,PECA
612FER1811,FE 612 BP CZA PLK 75,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X75MM COM RODA 612 BP CINZA PORCA PARLOCK,16.25,PECA
612FER2100,FE 612 UP PLK 25,RODIZIO DE AÇO FIXO DE PARAFUSO 25MM COM RODA 612 UP,19.49,PECA
612FER936,FE 612 GP PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM SEM RODA 612 PARAFUSO E PORCA PARLOCK,7.12,PECA
612FER937,FE 612 BP CZA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 612 BP CINZA PORCA PARLOCK,15.25,PECA
612FER938,FE 612 PP PTA PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM COM RODA 612 PP PRETA PORCA PARLOCK,13.72,PECA
612GBR1473,GB 612 NY BCA,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 612 NYLON BRANCA,32.77,PECA
612GBR2076,GB 612 BP CZA CT RO,RODIZIO DE AÇO GIRATORIO BASE COM RODA 612 CINZA COM CALOTA E ROLAMENTO,33,PECA
612GBR2097,GB 612 UP,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 612 UP,23.36,PECA
612GBR927,GB 612 GP,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 612 PARAFUSO E PORCA,11.25,PECA
612GBR928,GB 612 BP CZA,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 612 BP CINZA,19.22,PECA
612GBR929,GB 612 PP PTA,RODIZIO DE AÇO GIRATORIO DE BASE COM RODA 612 PP PRETA,17.6,PECA
612GER1474,GE 612 NY BCA 25,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X25MM COM RODA 612 NYLON BRANCA,32.53,PECA
612GER1498,GE 612 NY BCA 75,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X75MM COM RODA 612 NYLON BRANCA,33.4,PECA
612GER1803,GE 612 GP 75,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X75MM SEM RODA 612 PARAFUSO E PORCA,11.9,PECA
612GER1804,GE 612 BP CZA 75,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X75MM COM RODA 612 BP CINZA,19.88,PECA
612GER1805,GE 612 PP PTA 75,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X75MM COM RODA 612 PP PRETA,18.25,PECA
612GER2099,GE 612 UP 25,RODIZIO DE AÇO GIRATORIO DE PARAFUSO 25MM COM RODA 612 UP,23.12,PECA
612GER933,GE 612 GP 25,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X25MM SEM RODA 612 PARAFUSO E PORCA,10.95,PECA
612GER934,GE 612 BP CZA 25,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X25MM COM RODA 612 BP CINZA,18.98,PECA
612GER935,GE 612 PP PTA 25,RODIZIO DE AÇO GIRATÓRIO DE ESPIGA 1/2X25MM COM RODA 612 PRETA,17.35,PECA
612GP1510,GP 612 GP,RODIZIO DE AÇO GIRATORIO FURO PASSANTE SEM RODA 612 PARAFUSO E PORCA,9.38,PECA
612GP1784,GP 612 BP CZA,RODIZIO DE AÇO GIRATORIO FURO PASSANTE COM RODA 612 BP CINZA,17.48,PECA
612GP1801,GP 612 NY BCA,RODIZIO DE AÇO GIRATORIO FURO PASSANTE COM RODA 612 NYLON BRANCA,31.03,PECA
612GP1802,GP 612 PP PTA,RODIZIO DE AÇO GIRATORIO FURO PASSANTE COM RODA 612 PP PRETA,15.86,PECA
612RO1488,RO 612 NY BCA,RODA 612 NYLON BRANCA,17.72,PECA
612RO1798,RO 612 BP CZA CT RO,RODA 612 BP CINZA COM CALOTA E ROLAMENTO,18.9,PECA
612RO2107,RO 612 UP,RODA 612 DE POLIURETANO INJETADO - MATERIA PRIMA,10.95,PECA
612RO941,RO 612 BP CZA,RODA 612 BP CINZA,6.96,PECA
612RO943,RO 612 PP PTA,RODA 612 PP PRETA,5.65,PECA
614FBL1435,FB 614 BP CZA CT PLK,RODIZIO DE AÇO FIXO COM BASE COM RODA 614 BP CINZA CALOTA,19.6,PECA
614FBL1436,FB 614 FE/ PU BU PLK,RODIZIO DE AÇO FIXO COM BASE COM RODA 614 FERRP COM POLIURETANO BUCHA,80.42,PECA
614FBL1439,FB 614 GP PLK,RODIZIO DE AÇO FIXO COM BASE SEM RODA 614 PARAFUSO E PORCA,13.44,PECA
614FBL1621,FB 614 FE/PU RO PLK,RODIZIO DE AÇO FIXO COM BASE COM RODA 614 FERRO COM POLIURETANO ROLAMENTO,89.9,PECA
614FBL1713,FB 614 BP CZA CT RO PLK,RODIZIO DE AÇO FIXO COM BASE COM RODA 614 BP CINZA CALOTA E ROLAMENTO,30.79,PECA
614FBL1714,FB 614 FERRO PLK,RODIZIO DE AÇO FIXO COM BASE COM RODA 614 FERRO,62,PECA
614FBL2127,FB 614 NY BCA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100 COM RODA 614 NY BRANCA COM PARAFUSO E PORCA,56.26,PECA
614FBR1004,FBR 614 BP CZA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110 COM RODA 614 BP CINCA CALOTA E PORCA PARLOCK,40.377,PECA
614FBR1005,FBR 614 FE/PU BU PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110 COM RODA 614 FERRO COM POLIURETANO BUCHA E PORCA PARLOCK,89.99,PECA
614FBR1136,FBR 614 GP PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110 SEM RODA 614 COM PARAFUSO E PORCA PARLOCK,23.8,PECA
614FBR1351,FBR 614 FE/PU RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110 COM RODA 614 FERRO COM POLIURETANO ROLAMENTO E PORCA PARLOCK,99.47,PECA
614FBR1643,FBR 62 FE/PU RO PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 62 FERRO  COM POLIURETANO ROLAMENTO,120.97,PECA
614FBR1727,FBR 62 GP PLK,RODIZIO DE AÇO FIXO DE BASE SEM RODA 62 COM PARAFUSO E PORCA,22.68,PECA
614FBR1747,FBR 614 FERRO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110 COM RODA 614 FERRO E PORCA PARLOCK,71.85,PECA
614FBR1828,FBR 62 FERRO PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 62 FERRO,70.0212,PECA
614FBR2111,FBR 62 BP CZA CT RO PLK,RODIZIO DE AÇO FIXO BASE COM RODA 62 BP CINZA CALOTA E ROLAMENTO,49.59,PECA
614FEL1444,FE 614 GP PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE SEM RODA 614 PARAFUSO E PORCA,11.62,PECA
614FEL1445,FE 614 BP CZA CT PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 BP CINZA CALOTA,17.79,PECA
614FEL1446,FE 614 FE/PU BU PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 FERRO COM POLIURETANO,78.7,PECA
614FEL2129,FE 614 NY BCA CT RO 25 PLK,"RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 NY BRANCA COM CALOTA E ROLAMENTO, PARAFUSO E PORCA",54.5,PECA
614FER1016,FER 614 GP PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA REFORÇADA SEM RODA 614 PARAFUSO E PORCA PARLOCK,23.8,PECA
614FER1027,FER 614 FE/PU BU PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 614 FERRO COM POLIURETANO BUCHA E PORCA PARLOCK,89.99,PECA
614FER1625,FER 62 H GP,RODIZIO DE AÇO FIXO DE HASTE PARA ANDAIME SEM RODA 62 COM PARAFUSO E PORCA,38.7,PECA
614FER1641,FER 62 H BP CZA RO,RODIZIO DE AÇO FIXO DE HASTE PARA ANDAIME COM RODA 62 BP CINZA ROLAMENTO,63.38,PECA
614FER1706,FER 62 H FE/PU RO,RODIZIO DE AÇO FIXO DE HASTE PARA ANDAIME COM RODA 62 FERRO COM POLIURETANO ROLAMENTO,134.4,PECA
614GBL1437,GB 614 BP CZA CT PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 BP CINZA CALOTA,24.2,PECA
614GBL1438,GB 614 FE/PU BU PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 FERRO POLIURETANO BUCHA,84.95,PECA
614GBL1440,GB 614 GP PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 SEM RODA 614 COM PARAFUSO E PORCA,18.36,PECA
614GBL1620,GB 614 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 FERRO POLIURETANO ROLAMENTO,94.43,PECA
614GBL1717,GB 614 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 FERRO,66.6,PECA
614GBL1716,GB 614 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 BP CINZA CALOTA E ROLAMENTO,35.44,PECA
614GBL2125,GB 614 NY BCA CT PLK,ROD PLACA 127X100 614 NY BRANCA COM CALOTA,56.26,PECA
614GBL2143,GB 614 NY BCA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X110 COM RODA 614 NY BCA CALOTA E ROLAMENTO,60.92,PECA
614GBR1007,GBR 614 FE/PU BU PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110MM COM RODA 614 FERRO POLIURETANO BUCHA PORCA PARLOCK,103.4,PECA
614GBR1013,GBR 614 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110MM COM RODA 614 BP CINZA CALOTA PORCA PARLOCK,54.137,PECA
614GBR1350,GBR 614 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110MM COM RODA 614 FERRO POLIURETANO ROLAMENTO PORCA PARLOCK,112.89,PECA
614GBR1135,GBR 614 GP PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110MM SEM RODA 614 PARAFUSO E PORCA PARLOCK,38.3,PECA
614GBR1642,GBR 62 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO COM BASE RODA 62 FERRO COM POLIURETANO ROLAMENTO,134.4,PECA
614GBR1749,GBR 614 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇADA 130X110MM COM RODA 614 FERRO PORCA PARLOCK,83.7812,PECA
614GBR1829,GBR 62 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA REFORÇÃDA 130X110MM COM RODA 62 FERRO,83.7812,PECA
614GBR2110,GBR 62 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATÓRIO BASE COM RODA 62 BP CINZA CALOTA E ROLAMENTO,66.15,PECA
614GEL1441,GE 614 GP PLK 25,RODIZIO DE AÇO GIRATORIO COM ESPIGA 1/2X25MM LINHA LEVE SEM RODA 614 PARAFUSO E PORCA,15.25,PECA
614GBR2114,GBPX 63 PE,RODIZIO GMPX 63 PE DA RODA LEVE,274.4,PECA
614GEL1442,GE 614 FE/PU BU 25 PLK,RODIZIO DE AÇO GIRATORIO COM ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 FERRO COM POLIURETANO BUCHA,82.07,PECA
614GEL1443,GE 614 BP CZA CT PLK 25,RODIZIO DE AÇO GIRATORIO COM ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 BP CINZA CALOTA,21.22,PECA
614GEL1719,GE 614 FE/PU RO PLK 25,RODIZIO DE AÇO GIRATORIO COM ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 FERRO COM POLIURETANO ROLAMENTO,91.55,PECA
614GEL2128,GE 614 NY BCA CT RO 25 PLK,RODIZIO KMB DE AÇO GIRATORIO COM ESPIGA 1/2X25MM LINHA LEVE COM RODA 614 NY BRANCA CALOTA E ROLAMENTO,57.95,PECA
614GER1015,GER 614 BP CZA CT PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 614 BP CINZA CALOTA E PORCA PARLOCK,0,PECA
614GER1104,GER 614 FE/PU BU PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 614 FERRO COM POLIURETANO BUCHA E PORCA PARLOCK,103.4,PECA
614GER1582,GER 62 H GP,RODIZIO DE AÇO GIRATÓRIO DE HASTE PARA ANDAIME SEM RODA 62 COM PARAFUSO E PORCA,60.5,PECA
614GER1290,GER 614 GP PLK 25,RODIZIO DE AÇO GIRATORIO DE ESPIGA 1/2X25MM LINHA REFORÇADA SEM RODA 614 COM PARAFUSO E PORCA PARLOCK,38.3,PECA
614GER1626,GER 62 H BP CZA RO,RODIZIO DE AÇO GIRATÓRIO DE HASTE PARA ANDAIME COM RODA 62 BP CINZA ROLAMENTO,84,PECA
614GER1702,GER 62 H FE/PU RO,RODIZIO DE AÇO GIRATÓRIO DE HASTE PARA ANDAIME COM RODA 62 FERRO COM POLIURETANO ROLAMENTO,154.5,PECA
614RO1640,RO 62 BP CZA RO,RODA 62 BP CINZA ROLAMENTO,27.8,PECA
614RO1478,RO 614 BP CZA CT,RODA 614 BP CINZA COM CALOTA,7.06,PECA
614RO1704,RO 62 FE/PU RO,RODA 62 FERRO COM POLIURETANO ROLAMENTO,105.75,PECA
614RO1710,RO 614 FERRO,RODA 614 DE FERRO,51.42,PECA
614RO1712,RO 614 BP CZA CT RO,RODA 614 BP CINZA CALOTA E ROLAMENTO,18.81,PECA
614RO1729,RO 62 FERRO RO,RODA 62 DE FERRO COM ROLAMENTO PARA 5/8,0,PECA
614RO2134,RO 614 NY BCA CT RO,RODA 614 DE NYLLON BRANCA COM CALOTA E ROLAMENTO EIXO 7/16,39.1,PECA
614RO2163,RO 614 AL/BO RO,RODA 614 ALUMINIO COM BORRACHA ROLAMENTO,39.3,PECA
614RO973,RO 614 FE/ PU BU,RODA 614 FERRO COM POLIURETANO BUCHA,72.92,PECA
614RO974,RO 614 FE/PU RO,RODA 614 FERRO COM POLIURETANO ROLAMENTO,83.08,PECA
ABC123,ABC123,ABC123,999,PEÇA
